session_id,iki_variance,backspace_ratio,dwell_time,typing_speed,mouse_activity,click_count,app_switch_rate,fatigue_label
d2591586,0.0033,0.0,0.1026,335.56,0,0,3,9
d2591586,394.7699,0.0,0.0903,9.68,305,0,3,9
d2591586,0.038,0.1,0.1139,221.38,0,0,3,9
d2591586,0.5885,0.0,0.114,146.12,0,0,3,9
d2591586,0.0093,0.0,0.0971,357.55,0,0,3,9
d2591586,0.0495,0.1,0.1027,205.31,0,0,3,9
d2591586,0.0076,0.0,0.0906,372.66,0,0,3,9
d2591586,0.0141,0.0,0.1042,358.15,0,0,3,9
d2591586,0.0023,0.0,0.1142,319.67,0,0,3,9
d2591586,0.0213,0.0,0.113,340.58,0,0,3,9
d2591586,0.2277,0.1,0.16,153.07,0,0,3,9
395b1b29,578.7417,0.0,0.3216,5.63,389,68,8,3
502da38c,13.8375,0.0,0.3227,35.35,58,18,5,5
502da38c,0.0296,0.2,0.0886,270.16,0,0,5,5
502da38c,0.0266,0.4,0.0848,236.76,0,0,5,5
502da38c,0.002,0.0,0.0929,341.74,0,0,5,5
502da38c,0.0186,0.1,0.0937,352.17,0,0,5,5
502da38c,0.0744,0.3,0.0935,208.61,0,0,5,5
502da38c,0.0179,0.2,0.1087,272.06,0,0,5,5
502da38c,0.0627,0.2,0.1036,242.7,0,0,5,5
502da38c,0.0464,0.0,0.0976,255.1,0,0,5,5
502da38c,0.2324,0.0,0.088,180.42,0,0,5,5
502da38c,0.113,0.0,0.1115,221.89,0,0,5,5
502da38c,0.0029,0.0,0.1079,396.74,0,0,5,5
502da38c,0.1032,0.1,0.0901,161.48,0,0,5,5
502da38c,0.0062,0.0,0.1067,302.69,0,0,5,5
502da38c,0.0039,0.0,0.1014,284.1,0,0,5,5
164280bd,11.5656,0.0,0.2831,46.37,54,6,3,6
164280bd,0.0934,0.1,0.1101,213.38,0,0,3,6
164280bd,0.0009,0.0,0.1217,411.6,0,0,3,6
164280bd,0.0237,0.1,0.1112,258.44,0,0,3,6
164280bd,0.0778,0.2,0.107,173.45,0,0,3,6
c6148561,0.3423,0.1,0.1681,147.72,0,0,3,2
c6148561,0.0026,0.0,0.1109,406.66,0,0,3,2
c6148561,0.0075,0.0,0.0852,340.95,0,0,3,2
c6148561,0.0385,0.3,0.0857,211.13,0,0,3,2
