id,session_id,iki_variance,backspace_ratio,dwell_time,mouse_activity,app_switch_rate,fatigue_label
640,21a31ee0,8.3283,0.0,0.2487,1700,57,5
641,21a31ee0,98.3107,0.0,0.1899,1700,57,5
642,21a31ee0,0.0363,0.0,0.1042,1700,57,5
643,21a31ee0,0.006,0.0,0.0983,1700,57,5
644,21a31ee0,348.7611,0.0,0.1132,1700,57,5
645,21a31ee0,80.9746,0.0,0.2252,1700,57,5
646,21a31ee0,90.4862,0.0,0.4509,1700,57,5
647,21a31ee0,149.563,0.2,0.1478,1700,57,5
648,21a31ee0,1.3418,0.3,0.0862,1700,57,5
649,21a31ee0,14.8045,0.0,0.2874,1700,57,5
650,21a31ee0,118.9016,0.0,0.1927,1700,57,5
651,21a31ee0,0.12,0.0,0.1143,1700,57,5
652,21a31ee0,0.0143,0.0,0.1121,1700,57,5
653,21a31ee0,111.1706,0.0,0.2545,1700,57,5
654,21a31ee0,0.0086,0.0,0.1041,1700,57,5
655,21a31ee0,5.6555,0.0,0.1926,1700,57,5
656,21a31ee0,0.1328,0.0,0.1434,1700,57,5
657,21a31ee0,2.9433,0.0,0.2013,1700,57,5
658,21a31ee0,4.2016,0.0,0.1817,1700,57,5
659,21a31ee0,0.8816,0.0,0.1619,1700,57,5
660,21a31ee0,4.7715,0.0,0.206,1700,57,5
661,21a31ee0,118.6099,0.3,0.4857,1700,57,5
662,21a31ee0,29.1654,0.4,0.0892,1700,57,5
663,21a31ee0,3.9669,0.5,0.091,1700,57,5
664,21a31ee0,1753.2749,0.1,0.1322,1700,57,5
665,21a31ee0,1.2216,0.0,0.0967,1700,57,5
666,21a31ee0,0.0117,0.0,0.1085,1700,57,5
667,21a31ee0,0.006,0.0,0.1058,1700,57,5
668,21a31ee0,0.2034,0.0,0.0896,1700,57,5
669,21a31ee0,0.1227,0.0,0.0979,1700,57,5
670,21a31ee0,0.0564,0.0,0.0996,1700,57,5
671,21a31ee0,0.0079,0.0,0.0852,1700,57,5
672,21a31ee0,0.1201,0.3,0.0935,1700,57,5
673,21a31ee0,0.0686,0.0,0.0925,1700,57,5
674,21a31ee0,0.0554,0.0,0.0981,1700,57,5
675,21a31ee0,0.0142,0.0,0.1037,1700,57,5
676,21a31ee0,0.0049,0.0,0.0839,1700,57,5
677,21a31ee0,0.0029,0.0,0.0977,1700,57,5
678,21a31ee0,0.003,0.0,0.0874,1700,57,5
679,73251e5a,0.1878,0.1,0.0978,1766,46,8
680,73251e5a,0.0301,0.0,0.1033,1766,46,8
681,73251e5a,0.0092,0.0,0.1016,1766,46,8
682,73251e5a,0.0087,0.0,0.0934,1766,46,8
683,73251e5a,0.0754,0.0,0.103,1766,46,8
684,73251e5a,0.0337,0.0,0.101,1766,46,8
685,73251e5a,0.0322,0.0,0.0976,1766,46,8
686,73251e5a,0.0338,0.1,0.094,1766,46,8
687,73251e5a,0.1266,0.0,0.0903,1766,46,8
688,73251e5a,72.875,0.0,0.1124,1766,46,8
689,73251e5a,0.0923,0.0,0.1082,1766,46,8
690,73251e5a,0.049,0.0,0.1023,1766,46,8
691,73251e5a,0.0236,0.0,0.103,1766,46,8
692,73251e5a,449.2921,0.0,0.1142,1766,46,8
693,73251e5a,0.0617,0.0,0.0955,1766,46,8
694,73251e5a,0.8514,0.0,0.1073,1766,46,8
695,73251e5a,0.4544,0.0,0.103,1766,46,8
696,73251e5a,0.0698,0.0,0.1078,1766,46,8
697,73251e5a,0.5386,0.0,0.0999,1766,46,8
698,73251e5a,0.0208,0.0,0.1002,1766,46,8
699,73251e5a,0.2967,0.0,0.0937,1766,46,8
700,73251e5a,0.8435,0.0,0.0908,1766,46,8
701,73251e5a,579.1221,0.0,0.0995,1766,46,8
702,73251e5a,0.0158,0.0,0.0879,1766,46,8
703,73251e5a,287.0657,0.1,0.3199,1766,46,8
704,73251e5a,0.0346,0.0,0.1271,1766,46,8
705,73251e5a,0.1725,0.0,0.1029,1766,46,8
706,73251e5a,0.0174,0.0,0.0959,1766,46,8
707,73251e5a,0.0022,0.0,0.0936,1766,46,8
708,73251e5a,0.0343,0.0,0.1013,1766,46,8
709,73251e5a,1.093,0.0,0.0938,1766,46,8
710,73251e5a,0.0065,0.0,0.098,1766,46,8
711,73251e5a,0.0049,0.0,0.0989,1766,46,8
712,73251e5a,0.0181,0.0,0.091,1766,46,8
